,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Opremljenost in stanje,Število parkirnih mest,Leto zadnje prenove,Energetski razred,Interna številka oglasa,Balkon / terasa / atrij,Zunanje površine in oprema,Možnost menjave
0,5784474,29.03.2021dne10:52,"
29dni,21h,38min.
",1004-krat,"

149.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Visoko pritličje,4,4-sobno,"125,40 m²","140,50 m²",1906,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,,,
1,6654426,29.03.2021dne10:18,"
doprodaje",39-krat,"

58.900 €
",Skupna cena,Prodam,"Podravska, Ruše, Ruše",V večstanovanjski stavbi,4.,4,"1,5-sobno","44,70 m²","47,60 m²",1977,Popolnoma opremljeno,,2017,EI v izdelavi,GALEA 2021/426,,,
2,6624845,29.03.2021dne10:08,"
doprodaje",626-krat,"

112.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,2.,4,"2,5-sobno","62,80 m²",,2021,,,,B1 (15 - 25 kWh/m2a),C.14,Balkon,,
3,6624148,29.03.2021dne10:08,"
doprodaje",365-krat,"

114.700 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,1.,3,3-sobno,"68,70 m²",,2021,,,,,B.10,Balkon,,
4,6617291,29.03.2021dne10:08,"
doprodaje",465-krat,"

129.700 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,1.,3,,"96,10 m²",,2021,,,,B1 (15 - 25 kWh/m2a),A.4,Terasa,,
5,6616383,29.03.2021dne10:08,"
doprodaje",336-krat,"

129.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,2.,3,3-sobno,"77,90 m²",,2021,,,,,A.10,Balkon,,
6,6616201,29.03.2021dne10:08,"
doprodaje",64-krat,"

239.400 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,4.,4,3-sobno,"128,00 m²",,2021,,,,B1 (15 - 25 kWh/m2a),C.23,,,
7,6608652,29.03.2021dne10:08,"
doprodaje",133-krat,"

319.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,4.,4,4-sobno,"169,30 m²",,2021,,,,,C.22,Terasa,,
8,3577634,29.03.2021dne10:08,"
doprodaje",11695-krat,"

159.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,1.,3,3-sobno,"131,50 m²",,2021,,,,B1 (15 - 25 kWh/m2a),B.5,Balkon,,
9,3576924,29.03.2021dne10:08,"
doprodaje",2903-krat,"

179.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,3.,3,3-sobno,"98,60 m²",,2021,,,,B1 (15 - 25 kWh/m2a),B.17,Terasa,,
10,3561472,29.03.2021dne10:08,"
doprodaje",1295-krat,"

159.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,1.,3,"2,5-sobno","141,10 m²","55,20 m²",2021,Neopremljeno,1,,B1 (15 - 25 kWh/m2a),B.4,Terasa,,
11,3161746,29.03.2021dne10:08,"
doprodaje",3990-krat,"

179.700 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,2.,4,4-sobno,"95,30 m²",,2021,,,,B1 (15 - 25 kWh/m2a),C.10,Balkon,,
12,6654279,29.03.2021dne09:48,"
doprodaje",32-krat,"

202.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Lokrovec",,1.,,2-sobno,,"119,00 m²",2009,Delno opremljeno,,,EI v izdelavi,1065,Terasa,,
13,1452831,29.03.2021dne09:46,"
29dni,20h,32min.
",4215-krat,"
podogovoru",Cena na m²,Prodam,"Pomurska, Murska Sobota, Murska Sobota",V večstanovanjski stavbi,3.,,2-sobno,"67,00 m²",,1989,,,2015,,,Balkon,,
14,6654107,29.03.2021dne09:15,"
doprodaje",41-krat,"

109.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,2.,3,3-sobno,"90,80 m²","116,80 m²",1956,Delno opremljeno,,2011,,5228,,Vrt/dvorišče,
15,6654090,29.03.2021dne09:08,"
29dni,19h,54min.
",30-krat,"

147.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, BS 3",V večstanovanjski stavbi,3.,5,1-sobno,"44,90 m²","43,90 m²",1978,Popolnoma opremljeno,,,EI ni potrebna (334. člen EZ-1),,Balkon,,
16,6654027,29.03.2021dne08:51,"
29dni,19h,37min.
",23-krat,"

165.927 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Trnovo",V večstanovanjski stavbi,4.,6,1-sobno,"40,47 m²","39,23 m²",1981,Popolnoma opremljeno,1,2000,EI ni potrebna (334. člen EZ-1),,Balkon,,
17,5298888,29.03.2021dne08:40,"
doprodaje",2597-krat,"

234.231,45 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,2.,3,"4,5-sobno","90,30 m²","98,40 m²",2020,Delno opremljeno,,,B1 (15 - 25 kWh/m2a),,"Balkon, Loža",,
18,4383951,29.03.2021dne08:40,"
doprodaje",1097-krat,"

174.074,89 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,3,"3,5-sobno","66,50 m²","75,20 m²",2021,Delno opremljeno,,,B1 (15 - 25 kWh/m2a),,Loža,,
19,4359089,29.03.2021dne08:40,"
doprodaje",5761-krat,"

129.226,43 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,3,2-sobno,"43,50 m²","77,30 m²",2021,Neopremljeno,,,B2 (25 - 35 kWh/m2a),,"Terasa, Loža, Atrij",,
20,2218823,29.03.2021dne08:40,"
doprodaje",6476-krat,"

166.726,03 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,4,"2,5-sobno","57,10 m²","170,30 m²",2020,Neopremljeno,,,B2 (25 - 35 kWh/m2a),,"Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",
21,3971372,29.03.2021dne07:59,"
29dni,18h,45min.
",2230-krat,"

75.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Šmartno pri Litiji, Mala Kostrevnica",V hiši,Visoko pritličje,2,1-sobno,"34,60 m²","34,60 m²",1917,Delno opremljeno,,2000,G (210+ kWh/m2a),,,,
22,6650467,29.03.2021dne00:12,"
doprodaje",96-krat,"

52.500 €
",Skupna cena,Prodam,"Podravska, Ptuj, Ptuj",,,,1-sobno,"38,80 m²","36,90 m²",1980,Popolnoma opremljeno,,2002,,,,,
23,6649324,28.03.2021dne19:25,"
29dni,6h,11min.
",109-krat,"

144.990 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,1.,4,3-sobno,"68,95 m²","78,40 m²",1964,Popolnoma opremljeno,,2015,,,Balkon,,
24,6648388,28.03.2021dne17:02,"
29dni,3h,48min.
",177-krat,"

107.000 €
",Skupna cena,Prodam,"Gorenjska, Jesenice, Koroška Bela",V hiši,1.,2,3-sobno,"115,00 m²","75,00 m²",1930,Delno opremljeno,1,2019,EI v izdelavi,,"Balkon, Terasa, Loža",Lopa za shranjevanje,Možna menjava za drugo nepremičnino
25,6648004,28.03.2021dne16:09,"
29dni,2h,54min.
",27-krat,"
podogovoru",Skupna cena,Prodam,"Osrednjeslovenska, Trzin, Trzin",,1.,2,Garsonjera,"23,00 m²",,1997,,1,,,,,,
26,6646987,28.03.2021dne13:35,"
29dni,0h,21min.
",79-krat,"

90.000 €
",Skupna cena,Prodam,"Koroška, Ravne na Koroškem, Ravne na Koroškem",,Pritličje,,2-sobno,,,,,,,,,Balkon,,
27,6307365,28.03.2021dne12:21,"
28dni,23h,6min.
",97-krat,"

0 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,,,,,,,,1,,,,,,
28,1446157,28.03.2021dne12:06,"
28dni,22h,52min.
",906-krat,"

77.700 €
",Skupna cena,Prodam,"Podravska, Šentilj v Slovenskih goricah, Sladki Vrh",V večstanovanjski stavbi,3.,3,4-sobno,"84,00 m²",,1963,Delno opremljeno,,2018,,,,,Možna menjava za drugo nepremičnino
29,6201362,28.03.2021dne10:54,"
28dni,21h,39min.
",663-krat,"

90.000 €
",Skupna cena,Prodam,"Podravska, Miklavž na Dravskem polju, Skoke",V večstanovanjski stavbi,Visoko pritličje,2,2-sobno,"90,00 m²","90,00 m²",2001,Popolnoma opremljeno,2,,EI v izdelavi,,,Vrt/dvorišče,Menjava za drugo nepremičnino ni možna
30,6644864,28.03.2021dne08:47,"
doprodaje",353-krat,"

117.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",,2.,4,2-sobno,"64,10 m²","75,90 m²",1955,Neopremljeno,,2010,,2462-32,Balkon,,
31,6634986,28.03.2021dne00:13,"
doprodaje",78-krat,"

46.000 €
",Skupna cena,Prodam,"Savinjska, Radeče, Radeče",V večstanovanjski stavbi,2.,2,3-sobno,"71,00 m²","71,00 m²",1935,Neopremljeno,,2018,,PS00049BH,,,
32,3838389,27.03.2021dne22:12,"
28dni,9h,57min.
",1960-krat,"

79.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,2.,4,2-sobno,"41,00 m²","50,00 m²",1970,Popolnoma opremljeno,2,2018,EI v izdelavi,,,,
33,6142371,27.03.2021dne17:43,"
28dni,5h,29min.
",1887-krat,"

82.000 €
",Skupna cena,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,1.,2,3-sobno,"68,10 m²","68,10 m²",2001,Delno opremljeno,1,2016,,,,Vrt/dvorišče,Menjava za drugo nepremičnino ni možna
34,6261626,27.03.2021dne16:47,"
28dni,4h,34min.
",167-krat,"

86 €
",Skupna cena,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",V hiši,Visoko pritličje,1,3-sobno,"100,00 m²","100,00 m²",2004,,,2010,A1 (0 - 10 kWh/m2a),,Terasa,,
35,6633614,27.03.2021dne16:43,"
28dni,4h,29min.
",79-krat,"
podogovoru",Skupna cena,Prodam,"Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah",V večstanovanjski stavbi,2.,2,2-sobno,"49,00 m²","49,00 m²",2008,Popolnoma opremljeno,,2016,,,"Balkon, Zaprt balkon, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje",
36,1454333,27.03.2021dne16:35,"
28dni,4h,21min.
",618-krat,"

230.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Šibensko-kninska, Murter",V večstanovanjski stavbi,3.,,3-sobno,"94,00 m²",,1999,,,2015,C (51 do 100 kWh/m2a) - HR,,"Zaprt balkon, Terasa",,
37,2439696,27.03.2021dne15:43,"
28dni,3h,28min.
",2183-krat,"

58.000 €
",Skupna cena,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,Pritličje,1,2-sobno,"76,33 m²","76,33 m²",1915,Delno opremljeno,1,2012,EI ni potrebna (334. člen EZ-1),,Loža,"Vrt/dvorišče, Lopa za shranjevanje",Možna menjava za drugo nepremičnino
38,6633204,27.03.2021dne15:08,"
28dni,2h,53min.
",209-krat,"

120.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,5.,8,3-sobno,"69,80 m²","75,60 m²",1982,Delno opremljeno,,2021,,,Zaprt balkon,,Menjava za drugo nepremičnino ni možna
39,6632192,27.03.2021dne11:18,"
27dni,23h,3min.
",68-krat,"

245.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Nove Jarše",V večstanovanjski stavbi,Visoko pritličje,,2-sobno,"67,30 m²","86,70 m²",2021,,1,,,,Balkon,,
40,3971642,27.03.2021dne07:12,"
27dni,18h,57min.
",1378-krat,"

140.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Dobrinj",V večstanovanjski stavbi,Visoko pritličje,4,3-sobno,"53,00 m²","53,00 m²",2020,Delno opremljeno,1,,A1 (0 - 10 kWh/m2a),,"Balkon, Loža",Žar,Menjava za drugo nepremičnino ni možna
41,6631149,27.03.2021dne07:00,"
27dni,18h,46min.
",122-krat,"

52.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Melje",V večstanovanjski stavbi,Pritličje,,1-sobno,"40,00 m²","40,00 m²",1075,,2,2021,,,,Lopa za shranjevanje,Menjava za drugo nepremičnino ni možna
42,6627096,27.03.2021dne00:16,"
doprodaje",76-krat,"

279.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",V večstanovanjski stavbi,,5,3-sobno,"77,70 m²","77,70 m²",1944,,brez pripadajočega parkirišča,2018,,101199-104,,,Menjava za drugo nepremičnino ni možna
43,6627094,27.03.2021dne00:16,"
doprodaje",80-krat,"

169.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",V večstanovanjski stavbi,,,2-sobno,"46,70 m²","46,70 m²",1964,Popolnoma opremljeno,brez pripadajočega parkirišča,2020,,101216-31,"Zaprt balkon, Terasa",,Menjava za drugo nepremičnino ni možna
44,6627092,27.03.2021dne00:15,"
doprodaje",43-krat,"

169.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",V večstanovanjski stavbi,,,2-sobno,"46,70 m²","46,70 m²",1964,Popolnoma opremljeno,brez pripadajočega parkirišča,2020,,101170-169,"Zaprt balkon, Terasa",,Menjava za drugo nepremičnino ni možna
45,6627090,27.03.2021dne00:15,"
doprodaje",26-krat,"

587.606 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Moste",V večstanovanjski stavbi,,7,6 in večsobno,,"147,60 m²",2021,,brez pripadajočega parkirišča,,EI v izdelavi,101225-3,Balkon,,Menjava za drugo nepremičnino ni možna
46,6627011,27.03.2021dne00:12,"
doprodaje",155-krat,"

125.000 €
",Skupna cena,Prodam,"Obalno-kraška, Izola, Izola",,,4,1-sobno,,,1969,,,,,490111019-111,,,
47,6441847,26.03.2021dne17:42,"
4dni,21h,4min.
",1111-krat,"

79.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,2.,2,1-sobno,"47,00 m²","40,00 m²",1910,Popolnoma opremljeno,,2015,EI ni potrebna (334. člen EZ-1),,,,Možna menjava za drugo nepremičnino
48,6624853,26.03.2021dne12:36,"
doprodaje",357-krat,"

116.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,3.,3,3-sobno,"58,40 m²","70,90 m²",1936,Delno opremljeno,,2009,EI v izdelavi,2462-31,,,
49,6298222,26.03.2021dne11:40,"
26dni,23h,25min.
",470-krat,"

128.000 €
",Skupna cena,Prodam,"Obalno-kraška, Sežana, Sežana",V večstanovanjski stavbi,Pritličje,4,3-sobno,"82,00 m²","82,00 m²",1968,,,2015,,,,Vrt/dvorišče,
50,4944481,26.03.2021dne10:02,"
doprodaje",680-krat,"

189.000 €
",Skupna cena,Prodam,"Podravska, Maribor okolica, Kamnica",V večstanovanjski stavbi,,,3-sobno,"92,30 m²","114,00 m²",2003,,1,,EI v izdelavi,100108-458,Terasa,,Menjava za drugo nepremičnino ni možna
51,6326743,26.03.2021dne10:01,"
doprodaje",1251-krat,"

109.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,,,3-sobno,"63,80 m²","72,40 m²",1970,,brez pripadajočega parkirišča,,C (35 - 60 kWh/m2a),100120-148,Balkon,,Menjava za drugo nepremičnino ni možna
52,6401636,26.03.2021dne10:00,"
doprodaje",376-krat,"

224.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,,3,4-sobno,"116,80 m²","127,00 m²",1910,Neopremljeno,brez pripadajočega parkirišča,2017,EI v izdelavi,100105-231,Balkon,,Menjava za drugo nepremičnino ni možna
53,6425781,26.03.2021dne10:00,"
doprodaje",197-krat,"

122.229 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,,4,"1,5-sobno","43,20 m²","58,30 m²",2021,,brez pripadajočega parkirišča,,B2 (25 - 35 kWh/m2a),100108-344,"Atrij, Terasa",,Menjava za drugo nepremičnino ni možna
54,6425803,26.03.2021dne10:00,"
doprodaje",156-krat,"

149.343 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,,4,2-sobno,,"63,40 m²",2021,,brez pripadajočega parkirišča,,B2 (25 - 35 kWh/m2a),100108-345,Balkon,,Menjava za drugo nepremičnino ni možna
55,6425808,26.03.2021dne10:00,"
doprodaje",126-krat,"

244.804 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,,4,3-sobno,"90,40 m²","102,40 m²",2021,,brez pripadajočega parkirišča,,B2 (25 - 35 kWh/m2a),100108-346,Balkon,,Menjava za drugo nepremičnino ni možna
56,6431470,26.03.2021dne10:00,"
doprodaje",399-krat,"

179.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,,,4-sobno,"68,10 m²","89,50 m²",1927,,brez pripadajočega parkirišča,2019,,100155-251,,,Menjava za drugo nepremičnino ni možna
57,6445566,26.03.2021dne09:59,"
doprodaje",579-krat,"

79.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,,2,2-sobno,"61,90 m²","61,90 m²",1903,Delno opremljeno,1,2019,D (60 - 105 kWh/m2a),100105-226,Terasa,,Menjava za drugo nepremičnino ni možna
58,6342021,26.03.2021dne09:59,"
doprodaje",439-krat,"

243.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,,5,4-sobno,"95,80 m²","152,20 m²",2020,Neopremljeno,brez pripadajočega parkirišča,,,100155-249,Terasa,,Menjava za drugo nepremičnino ni možna
59,6624162,26.03.2021dne09:54,"
26dni,21h,40min.
",47-krat,"
podogovoru",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Novi Vinodolski",V večstanovanjski stavbi,2.,2,3-sobno,"64,00 m²","64,00 m²",2008,Popolnoma opremljeno,1,,,,"Balkon, Terasa",Vrt/dvorišče,
60,6069350,26.03.2021dne08:17,"
doprodaje",256-krat,"

169.900 €
",Skupna cena,Prodam,"Pomurska, Radenci, Radenci",V večstanovanjski stavbi,4.,4,4-sobno,"145,00 m²","145,00 m²",2020,,brez pripadajočega parkirišča,,,PS4646424MR,,,
61,5038070,26.03.2021dne07:51,"
3dni,22h,46min.
",2578-krat,"

183.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",V večstanovanjski stavbi,4.,5,3-sobno,"65,00 m²","65,00 m²",1989,Popolnoma opremljeno,brez pripadajočega parkirišča,2006,,,,,Možna menjava za drugo nepremičnino
62,1457660,26.03.2021dne06:34,"
26dni,18h,19min.
",2957-krat,"

22.000 €
",Skupna cena,Prodam,"Pomurska, Ljutomer, Ljutomer",V večstanovanjski stavbi,2.,,,"90,00 m²","100,00 m²",,Potrebno obnove,,2000,,,,Vrt/dvorišče,
63,6427865,26.03.2021dne06:06,"
26dni,17h,51min.
",196-krat,"

145.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Gaberje",V hiši,1.,2,3-sobno,"154,00 m²","180,00 m²",2000,Popolnoma opremljeno,4,2020,B2 (25 - 35 kWh/m2a),,,"Vrt/dvorišče, Lopa za shranjevanje",Možna menjava za drugo nepremičnino
64,6619474,26.03.2021dne00:19,"
doprodaje",383-krat,"

80.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,,5,2-sobno,"48,80 m²","51,70 m²",1975,Delno opremljeno,brez pripadajočega parkirišča,,C (35 - 60 kWh/m2a),100120-154,Balkon,,Menjava za drugo nepremičnino ni možna
65,6619461,26.03.2021dne00:19,"
doprodaje",243-krat,"

63.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,,,1-sobno,"32,60 m²","37,10 m²",1953,Delno opremljeno,brez pripadajočega parkirišča,2013,,100155-254,,,Menjava za drugo nepremičnino ni možna
66,6619034,26.03.2021dne00:17,"
doprodaje",88-krat,"

130.000 €
",Skupna cena,Prodam,"Savinjska, Velenje, Velenje",V večstanovanjski stavbi,,,3-sobno,"68,90 m²","84,30 m²",1973,Delno opremljeno,brez pripadajočega parkirišča,2015,D (60 - 105 kWh/m2a),207-66,Balkon,,Menjava za drugo nepremičnino ni možna
67,6618896,26.03.2021dne00:14,"
doprodaje",89-krat,"

159.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,2.,4,,"112,00 m²","112,00 m²",1903,,,2005,,PS38621917PV,,,
68,6618816,26.03.2021dne00:13,"
doprodaje",156-krat,"

149.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,3.,3,4-sobno,"90,00 m²","90,00 m²",1980,Popolnoma opremljeno,,2017,,PH0088TA,,,
69,6617201,25.03.2021dne16:05,"
doprodaje",551-krat,"

115.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",,Pritličje,,,,,1975,,,,D (60 - 105 kWh/m2a),,,,
70,6616827,25.03.2021dne14:14,"
doprodaje",81-krat,"

255.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,12.,12,1-sobno,"73,70 m²",,1960,,,,C (35 - 60 kWh/m2a),V160,,,
71,6616772,25.03.2021dne13:59,"
doprodaje",84-krat,"

175.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",,1.,,4-sobno,,"91,40 m²",1999,Popolnoma opremljeno,,,C (35 - 60 kWh/m2a),1060,,,
72,6616546,25.03.2021dne13:07,"
doprodaje",106-krat,"

166.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška",,5.,9,"1,5-sobno","42,40 m²",,1983,,,2020,D (60 - 105 kWh/m2a),R65,,,
73,5417204,25.03.2021dne12:53,"
26dni,0h,38min.
",199-krat,"
podogovoru",Skupna cena,Prodam,"Goriška, Tolmin, Podbrdo",V večstanovanjski stavbi,1.,4,3-sobno,"107,00 m²","113,00 m²",1920,Delno opremljeno,1,2018,,,,,Menjava za drugo nepremičnino ni možna
74,6325791,25.03.2021dne12:30,"
26dni,0h,15min.
",395-krat,"

166.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Center",V večstanovanjski stavbi,,3,3-sobno,"105,10 m²","95,80 m²",1892,Popolnoma opremljeno,1,2020,EI ni potrebna (334. člen EZ-1),,Balkon,,Menjava za drugo nepremičnino ni možna
75,6616076,25.03.2021dne11:29,"
doprodaje",70-krat,"

240.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",,1.,,3-sobno,"86,00 m²",,1967,,,,,,Balkon,,
76,6615860,25.03.2021dne11:10,"
25dni,22h,55min.
",347-krat,"

150.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,2.,4,"3,5-sobno","74,00 m²","74,00 m²",1998,,,,,,Balkon,,
77,6611105,25.03.2021dne00:22,"
doprodaje",2499-krat,"

139.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Lucija",V večstanovanjski stavbi,Pritličje,1,2-sobno,"41,00 m²","41,00 m²",1989,Popolnoma opremljeno,,,,PS00673KM,,,
78,6611104,25.03.2021dne00:22,"
doprodaje",3465-krat,"

238.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška",V večstanovanjski stavbi,1.,8,3-sobno,"76,00 m²","76,00 m²",1964,,,2000,,PS00672KM,,,
79,6611103,25.03.2021dne00:22,"
doprodaje",57-krat,"

286.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška",V večstanovanjski stavbi,5.,8,4-sobno,"76,00 m²","76,00 m²",1963,Delno opremljeno,,2016,,PS00671KM,,,
80,6611102,25.03.2021dne00:22,"
doprodaje",106-krat,"

119.000 €
",Skupna cena,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",V večstanovanjski stavbi,1.,3,4-sobno,"87,00 m²","87,00 m²",1983,,,2014,,PS4646698MR,,,
81,6611101,25.03.2021dne00:22,"
doprodaje",61-krat,"

114.900 €
",Skupna cena,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",V večstanovanjski stavbi,3.,5,3-sobno,"73,00 m²","73,00 m²",2009,,,,,PS4646696MR,,,
82,6611089,25.03.2021dne00:22,"
doprodaje",83-krat,"

107.000 €
",Skupna cena,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",V večstanovanjski stavbi,Pritličje,2,3-sobno,"77,00 m²","77,00 m²",1983,,,2014,,PP4646667MR,,,
83,6611006,25.03.2021dne00:22,"
doprodaje",182-krat,"

170.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Koroška vrata",V večstanovanjski stavbi,,7,"4,5-sobno","96,30 m²","113,60 m²",2007,,brez pripadajočega parkirišča,,EI v izdelavi,100102-308,Terasa,,Menjava za drugo nepremičnino ni možna
84,6610652,25.03.2021dne00:18,"
doprodaje",3685-krat,"

129.000 €
",Skupna cena,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",,,4,2-sobno,,,2009,,,,B1 (15 - 25 kWh/m2a),490281024-77,,,
85,6610642,25.03.2021dne00:18,"
doprodaje",92-krat,"

196.800 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šentvid",V večstanovanjski stavbi,,2,3-sobno,"81,90 m²","125,30 m²",1966,Neopremljeno,brez pripadajočega parkirišča,2021,,101199-102,,,Menjava za drugo nepremičnino ni možna
86,6610641,25.03.2021dne00:18,"
doprodaje",152-krat,"

140.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Celje",,,2,3-sobno,,,2006,,1,,,490281009-286,,,
87,6610489,25.03.2021dne00:14,"
doprodaje",423-krat,"

93.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,,,,"85,00 m²","85,00 m²",1954,,,,,PS00283UL,,,
88,6610486,25.03.2021dne00:14,"
doprodaje",43-krat,"

119.000 €
",Skupna cena,Prodam,"Savinjska, Rogaška Slatina, Rogaška Slatina",V večstanovanjski stavbi,,2,4-sobno,"94,00 m²","94,00 m²",1867,Delno opremljeno,,2020,,PS00280JR,,,
89,6610483,25.03.2021dne00:14,"
doprodaje",141-krat,"

208.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Ostalo",V večstanovanjski stavbi,Pritličje,1,5-sobno,"140,00 m²","140,00 m²",2020,Neopremljeno,,,,PS00275AM,,,
90,4474654,24.03.2021dne19:31,"
25dni,7h,16min.
",2299-krat,"

135.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana, Medno",,Pritličje,1,1-sobno,"34,40 m²",,1965,Delno opremljeno,4,2013,EI v izdelavi,,,Vrt/dvorišče,
